person_name,screen_name,tweet,time_hour_of_day,hash_tags,media_info,freq,media_tweet_freq,total_tweet_by_user,percentage,hash_count,clean_tweet,sentiment,sentiment_score,compound_sentiment
jimmy fallon,jimmyfallon,"RT @TheWrap: Ringo Starr, a Friggin' Beatle, Plays 'Yellow Submarine' on Classroom Instruments With @JimmyFallon (Video) https://t.co/kdG1B…",16,[],No picture / link,13,82,200,6.5,0,"RT @TheWrap: Ringo Starr, a Friggin' Beatle, Plays 'Yellow Submarine' on Classroom Instruments With @JimmyFallon (Video) https://t.co/kdG1B…",Positive,"{'neg': 0.0, 'neu': 0.868, 'pos': 0.132, 'compound': 0.3134}",0.3134
jimmy fallon,jimmyfallon,Nailed it bud. See you soon!! https://t.co/PXOz3aWzyL,16,[],Has pictures / links ,13,118,200,6.5,0,Nailed it bud. See you soon!! https://t.co/PXOz3aWzyL,Neutral,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
jimmy fallon,jimmyfallon,Preparing to see my first @deadandcompany show on October 31st at @TheGarden. My friend @Andy is helping me prep by… https://t.co/Y0RLV53RDP,16,[],Has pictures / links ,13,118,200,6.5,0,Preparing to see my first @deadandcompany show on October 31st at @TheGarden. My friend @Andy is helping me prep by… https://t.co/Y0RLV53RDP,Positive,"{'neg': 0.0, 'neu': 0.779, 'pos': 0.221, 'compound': 0.6597}",0.6597
jimmy fallon,jimmyfallon,@ParentOutpost @blainecapatch I’d screw it up. It was something about getting the bad side effects to being bit by… https://t.co/E7sn3voN3M,16,[],Has pictures / links ,13,118,200,6.5,0,@ParentOutpost @blainecapatch I’d screw it up. It was something about getting the bad side effects to being bit by… https://t.co/E7sn3voN3M,Negative,"{'neg': 0.214, 'neu': 0.786, 'pos': 0.0, 'compound': -0.5994}",-0.5994
jimmy fallon,jimmyfallon,I never knew I shared a birthday with @blainecapatch. I love that guy. I was lucky open for him once back in the da… https://t.co/Qmr0wxIoeu,16,[],Has pictures / links ,13,118,200,6.5,0,I never knew I shared a birthday with @blainecapatch. I love that guy. I was lucky open for him once back in the da… https://t.co/Qmr0wxIoeu,Positive,"{'neg': 0.078, 'neu': 0.653, 'pos': 0.269, 'compound': 0.7153}",0.7153
jimmy fallon,jimmyfallon,This is awesome. Thank you so much!! https://t.co/0gQsr5ryHV,16,[],Has pictures / links ,13,118,200,6.5,0,This is awesome. Thank you so much!! https://t.co/0gQsr5ryHV,Positive,"{'neg': 0.0, 'neu': 0.455, 'pos': 0.545, 'compound': 0.8011}",0.8011
jimmy fallon,jimmyfallon,"RT @etalkCTV: John's still got it! 👏⚡️ “John Travolta brought back Danny Zuko from 'Grease' with @jimmyfallon”

https://t.co/uI1ADuVvGB",16,[],Has pictures / links ,13,118,200,6.5,0,"RT @etalkCTV: John's still got it! 👏⚡️ “John Travolta brought back Danny Zuko from 'Grease' with @jimmyfallon”

https://t.co/uI1ADuVvGB",Neutral,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
jimmy fallon,jimmyfallon,Thank you!!! https://t.co/EM8Vmnannc,16,[],Has pictures / links ,13,118,200,6.5,0,Thank you!!! https://t.co/EM8Vmnannc,Positive,"{'neg': 0.0, 'neu': 0.372, 'pos': 0.628, 'compound': 0.5229}",0.5229
jimmy fallon,jimmyfallon,"So excited for #TonightShowSummerReads! 5 amazing books this year: Ask Again, Yes by @Mary_Beth_Keane, The Chain by… https://t.co/qf0RgOpEKc",16,"[{'indices': [15, 38], 'text': 'TonightShowSummerReads'}]",Has pictures / links ,13,118,200,6.5,1,"So excited for #TonightShowSummerReads! 5 amazing books this year: Ask Again, Yes by @Mary_Beth_Keane, The Chain by… https://t.co/qf0RgOpEKc",Positive,"{'neg': 0.0, 'neu': 0.596, 'pos': 0.404, 'compound': 0.8585}",0.8585
jimmy fallon,jimmyfallon,RT @MacKidsBooks: Do you love THIS IS BABY by @JimmyFallon? Enter to win a signed copy by posting a photo of your kiddo reading Jimmy's lat…,17,[],No picture / link,7,82,200,3.5000000000000004,0,RT @MacKidsBooks: Do you love THIS IS BABY by @JimmyFallon? Enter to win a signed copy by posting a photo of your kiddo reading Jimmy's lat…,Positive,"{'neg': 0.0, 'neu': 0.733, 'pos': 0.267, 'compound': 0.8402}",0.8402
